owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull,labels
shtylman,node-process,234.0,64.0,0,1210.4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,42.0,0,3.0,-1.0,-1.0,79,0.0,-1.0,3.8,4.0,4096.11,3.0,3.0,-1.0,-1.0,-1.0,0.76,0.87,1.9,6.0
digitalbazaar,forge,9804.0,756.0,0,1210.4,-3.0,-1.0,29.1,29.9,-1.0,-1.0,-1.0,4.0,62.0,0,53.0,581.0,2076.6,576,0.0,1.0,2.0,342.0,5007.13,-1.0,23.0,-1.0,4.0,-1.0,0.55,0.77,1.9,4.0
sindresorhus,got,27652.0,908.0,6004690,1208.7,3.0,-1.0,19.7,13.8,8.0,10.7,1.0,19.0,100.0,0,10.0,1100.0,2969.7,160,0.0,90.0,4.6,213.0,3657.05,136.0,26.0,4.0,8.0,8.0,0.92,1.0,1.9,19.0
postcss,autoprefixer,42760.0,1257.0,18446313,1208.1,0.0,-1.0,0.5,0.2,3.0,7.9,3.7,7.0,50.0,0,33.0,55.0,3000.8,827,0.0,36.0,2.2,282.0,4035.79,197.0,4.0,4.0,3.0,18.0,0.97,1.0,1.9,7.0
webpack,webpack-dev-middleware,4934.0,349.0,15776953,1207.4,13.0,0.0,53.5,49.6,133.0,11.6,1.2,32.0,87.0,9,28.0,49.0,3401.6,14366,0.0,1201.0,2.9,126.0,4253.15,64.0,1.0,4.0,133.0,70.0,0.99,1.0,1.9,32.0
TypeStrong,ts-node,24906.0,523.0,4289773,1202.9,1.0,-1.0,20.0,18.7,8.0,18.8,9.5,18.0,75.0,14,126.0,33.0,2736.6,23384,27.0,922.0,1.5,105.0,3182.91,140.0,42.0,3.0,11.0,7.0,0.86,0.95,1.9,18.0
sindresorhus,ora,17674.0,308.0,5986822,1202.8,0.0,-1.0,3.9,1.9,1.0,0.0,0.0,9.0,85.0,0,14.0,1100.0,2969.7,20,0.0,23.0,6.1,11.0,2950.24,31.0,7.0,2.0,1.0,7.0,0.87,1.0,1.9,9.0
visionmedia,node-progress,5854.0,279.0,0,1202.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,37.0,0,9.0,25.0,4275.2,0,0.0,-1.0,3.6,5.0,4728.95,3.0,1.0,-1.0,-1.0,-1.0,0.54,0.79,1.9,-1.0
Gozala,querystring,570.0,72.0,10922774,1202.8,0.0,-1.0,-1.0,-1.0,1.0,0.0,-1.0,1.0,42.0,0,4.0,528.0,3050.2,0,0.0,2.0,1.9,14.0,4733.75,-1.0,-1.0,1.0,1.0,1.0,0.54,0.89,1.9,1.0
mishoo,UglifyJS,25760.0,1334.0,3,1202.5,0.0,-1.0,47.3,97.4,15.0,0.2,0.0,8.0,71.0,3,30.0,45.0,3632.6,12,0.0,38311.0,2.2,127.0,4234.6,275.0,8.0,-1.0,16.0,-1.0,0.99,1.0,1.9,8.0
