owner,repo,stars_and_watchers,forks,downstream_dependents,length_of_comments,change_of_pulls,change_of_contributors,time_to_close_issues,time_to_comment_issues,closed_PRs,time_to_close_PRs,time_to_comment_PRs,commit_tags,health_percentage,headings_of_docs,headings_of_README,projects_owned_by_maintainer,projects_age_owned_by_maintainer,outdated_versions,vulnerabilities,workflow_runs,contributors_per_code_file,files_with_more_than_1_contributors,time_since_created,versions,issues_reporters_count,contributors_count,submitted_PRs,submitted_commits,issues_closed_rate,PRs_closed_rate,comments_per_pull,labels
sindresorhus,gzip-size,336.0,20.0,11279371,1080.1,0.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,7.0,85.0,0,10.0,30.0,2666.3,67,0.0,-1.0,3.2,9.0,3684.17,4.0,1.0,-1.0,-1.0,-1.0,0.88,1.0,1.9,7.0
survivejs,webpack-merge,5324.0,140.0,6267049,1080.0,0.0,-1.0,1.3,0.0,2.0,0.9,0.1,11.0,62.0,1,14.0,37.0,2520.1,8789,0.0,7.0,2.0,31.0,3201.55,-1.0,3.0,3.0,2.0,7.0,0.99,0.93,1.9,11.0
indutny,elliptic,3246.0,351.0,10037109,1080.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,28.0,0,10.0,386.0,3034.9,2131,33.0,-1.0,2.4,38.0,3631.47,-1.0,2.0,-1.0,-1.0,-1.0,0.49,0.71,1.9,8.0
cssnano,cssnano,9196.0,316.0,13494263,1079.9,-1.0,-1.0,85.4,15.0,29.0,23.2,3.7,25.0,50.0,11,5.0,2.0,2321.3,1766,2.0,371.0,2.1,1001.0,3274.32,114.0,11.0,7.0,29.0,35.0,0.88,0.99,1.9,25.0
graphql,graphql-js,39726.0,1981.0,0,1072.1,-5.0,-1.0,16.1,4.5,37.0,19.4,0.6,26.0,62.0,0,8.0,31.0,1954.0,26023,9.0,2101.0,2.5,773.0,3197.49,149.0,23.0,11.0,55.0,26.0,0.85,0.96,1.9,26.0
kulshekhar,ts-jest,13602.0,443.0,1221497,1067.3,8.0,2.0,29.3,22.0,45.0,43.1,16.9,27.0,71.0,10,7.0,77.0,2224.3,27813,9.0,1100.0,2.0,856.0,2770.43,123.0,28.0,9.0,47.0,28.0,0.91,1.0,1.9,27.0
aws,aws-sdk-js,15082.0,1546.0,0,1067.0,-10.0,-2.0,25.1,11.0,28.0,7.5,7.5,49.0,100.0,7,20.0,438.0,1551.2,969,0.0,2031.0,1.7,1044.0,4225.06,1767.0,47.0,14.0,32.0,170.0,0.96,0.98,1.9,49.0
hughsk,flat,3464.0,202.0,1820319,1066.8,1.0,-1.0,0.8,0.8,7.0,0.2,0.9,7.0,42.0,0,13.0,491.0,3635.9,667,0.0,18.0,5.7,8.0,4195.3,2.0,2.0,3.0,8.0,8.0,0.61,0.79,1.9,7.0
alexreardon,memoize-one,5814.0,83.0,1502994,1066.8,0.0,-1.0,38.6,0.0,-1.0,-1.0,-1.0,12.0,42.0,0,19.0,61.0,2476.1,13455,17.0,-1.0,1.3,10.0,2613.86,20.0,1.0,-1.0,-1.0,-1.0,0.98,0.94,1.9,12.0
expressjs,cors,11892.0,456.0,6716998,1066.7,1.0,-1.0,28.4,20.3,-1.0,-1.0,0.0,16.0,62.0,6,13.0,44.0,3465.5,113,0.0,5.0,4.1,18.0,4077.86,-1.0,6.0,-1.0,5.0,-1.0,0.80,0.89,1.9,16.0
remix-run,react-router,103354.0,10103.0,7487813,1039.5,-7.0,-4.0,3.4,3.7,165.0,6.8,0.0,25.0,62.0,6,6.0,26.0,906.1,24712,18.0,12563.0,2.1,295.0,3607.07,269.0,190.0,34.0,172.0,265.0,0.99,0.99,1.9,25.0
crypto-browserify,createHash,104.0,34.0,0,1039.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,7.0,50.0,0,1.0,-1.0,-1.0,5,0.0,-1.0,1.8,9.0,3364.47,-1.0,-1.0,-1.0,-1.0,-1.0,0.60,1.0,1.9,7.0
BerkeleyTrue,warning,446.0,26.0,2791177,1039.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,57.0,4,4.0,88.0,1447.9,13793,48.0,-1.0,2.4,8.0,3288.0,4.0,-1.0,-1.0,-1.0,-1.0,1.00,0.85,1.9,10.0
then,is-promise,560.0,32.0,6498928,1039.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,50.0,0,4.0,19.0,3541.0,0,0.0,-1.0,1.7,6.0,4116.33,5.0,-1.0,-1.0,-1.0,-1.0,0.95,0.96,1.9,6.0
immerjs,immer,53362.0,831.0,9142458,1039.3,0.0,0.0,24.1,1.7,2.0,86.2,0.0,29.0,62.0,0,5.0,2.0,2134.4,31384,31.0,231.0,2.4,170.0,2284.48,107.0,18.0,1.0,15.0,1.0,0.97,0.97,1.9,29.0
avoidwork,filesize.js,2988.0,101.0,10895394,1038.5,0.0,-1.0,4.0,0.8,7.0,2.2,2.7,9.0,42.0,0,22.0,68.0,3197.5,1578,0.0,4.0,2.2,29.0,4412.41,-1.0,3.0,6.0,7.0,31.0,1.00,1.0,1.9,9.0
jest-community,eslint-plugin-jest,2204.0,218.0,7820973,1030.7,6.0,2.0,35.7,3.1,83.0,4.2,21.4,77.0,37.0,0,16.0,18.0,2158.7,10226,0.0,1310.0,2.8,357.0,2335.13,264.0,11.0,8.0,89.0,86.0,0.94,1.0,1.9,77.0
typicode,husky,62422.0,993.0,1346066,1027.8,22.0,11.0,21.1,14.1,36.0,27.5,32.8,9.0,57.0,0,8.0,74.0,2531.9,1158,3.0,309.0,1.9,70.0,3569.49,72.0,46.0,17.0,38.0,48.0,0.98,0.98,1.9,9.0
mscdex,busboy,5486.0,210.0,2967020,1027.8,-1.0,-1.0,1.7,0.1,1.0,0.1,0.1,8.0,42.0,0,7.0,85.0,3019.5,73,0.0,4.0,1.9,9.0,3961.78,-1.0,6.0,1.0,3.0,1.0,0.94,0.85,1.9,8.0
stefanpenner,es6-promise,14602.0,593.0,3430021,1027.8,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,11.0,42.0,0,7.0,614.0,3220.3,13833,95.0,-1.0,3.6,127.0,3765.5,-1.0,-1.0,-1.0,-1.0,-1.0,0.87,0.98,1.9,11.0
postcss,postcss-import,2700.0,128.0,9247790,1026.1,-1.0,-1.0,47.7,1.5,24.0,32.4,11.5,12.0,37.0,0,8.0,55.0,3000.8,155,0.0,175.0,2.1,168.0,3533.76,32.0,6.0,3.0,24.0,23.0,0.99,1.0,1.9,12.0
MikeMcl,bignumber.js,12932.0,738.0,1626860,1025.6,0.0,-1.0,37.9,2.6,1.0,4.5,4.0,9.0,42.0,0,9.0,6.0,3214.5,0,0.0,1.0,1.3,13.0,4161.17,1.0,11.0,3.0,3.0,5.0,0.93,0.91,1.9,9.0
felixge,node-dateformat,2588.0,165.0,1,1025.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,4,9.0,284.0,3372.0,13619,7.0,-1.0,3.7,54.0,4767.31,20.0,-1.0,-1.0,-1.0,-1.0,0.88,0.98,1.9,-1.0
benjamn,recast,9540.0,342.0,1900426,1022.5,1.0,-1.0,1.3,2.8,37.0,7.9,7.8,8.0,42.0,0,8.0,165.0,3204.4,10587,3.0,127.0,4.2,84.0,4209.23,2.0,10.0,2.0,44.0,6.0,0.61,0.96,1.9,8.0
validatorjs,validator.js,44774.0,2250.0,0,1022.3,13.0,7.0,12.7,9.0,34.0,7.0,1.6,41.0,62.0,0,14.0,2.0,3166.2,1896,0.0,808.0,5.2,257.0,4925.71,11.0,34.0,10.0,93.0,10.0,0.83,0.85,1.9,41.0
reduxjs,redux,120610.0,15269.0,3843122,1016.3,-3.0,-1.0,1.4,0.1,52.0,4.2,0.0,15.0,87.0,18,16.0,21.0,2282.9,53820,66.0,545.0,3.3,208.0,3229.0,78.0,25.0,25.0,54.0,115.0,0.98,1.0,1.9,15.0
moment,moment-timezone,7562.0,851.0,1284857,1015.9,-3.0,-1.0,31.1,6.7,4.0,4.5,0.3,25.0,50.0,14,5.0,7.0,3619.0,4563,3.0,56.0,3.0,578.0,4344.84,57.0,18.0,3.0,4.0,7.0,0.92,0.99,1.9,25.0
hapijs,joi,41022.0,1511.0,2820561,1014.4,6.0,-1.0,32.4,19.8,17.0,22.0,22.1,13.0,75.0,0,4.0,75.0,3047.3,334,0.0,83.0,5.4,152.0,4214.31,-1.0,34.0,8.0,19.0,65.0,0.93,0.98,1.9,13.0
node-formidable,formidable,13816.0,704.0,1666325,1014.1,3.0,-1.0,18.5,12.2,4.0,13.0,34.8,33.0,100.0,0,24.0,2.0,3285.0,14669,21.0,493.0,2.6,139.0,5077.34,4.0,15.0,1.0,4.0,1.0,0.94,0.96,1.9,33.0
remix-run,history,16474.0,967.0,3525940,1014.1,0.0,-1.0,-1.0,20.7,-1.0,-1.0,-1.0,7.0,50.0,0,6.0,26.0,906.1,20223,33.0,-1.0,1.8,159.0,3179.02,19.0,3.0,-1.0,-1.0,-1.0,0.82,0.96,1.9,7.0
dominictarr,split,694.0,39.0,1762305,1014.1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,28.0,0,4.0,893.0,3659.0,10,0.0,-1.0,1.7,6.0,4231.4,-1.0,-1.0,-1.0,-1.0,-1.0,0.87,0.71,1.9,6.0
yeoman,configstore,1710.0,56.0,4891502,1014.1,0.0,-1.0,0.1,0.1,-1.0,-1.0,-1.0,8.0,50.0,0,15.0,48.0,3784.3,73,0.0,5.0,3.7,10.0,4156.35,12.0,3.0,-1.0,-1.0,-1.0,0.91,1.0,1.9,8.0
gulpjs,findup-sync,194.0,28.0,2985889,1014.1,-1.0,-1.0,-1.0,-1.0,1.0,13.6,-1.0,8.0,62.0,0,5.0,72.0,3044.7,189,0.0,3.0,1.5,19.0,4168.09,16.0,-1.0,1.0,1.0,1.0,0.96,1.0,1.9,8.0
airbnb,babel-plugin-dynamic-import-node,1148.0,66.0,11296973,1014.1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,62.0,0,7.0,197.0,2834.7,2740,0.0,-1.0,1.6,27.0,2713.22,-1.0,-1.0,-1.0,-1.0,-1.0,0.98,0.88,1.9,8.0
image-size,image-size,3852.0,183.0,4745654,1014.4,-2.0,0.0,1.6,1.1,7.0,0.7,0.0,7.0,37.0,0,15.0,1.0,3926.0,4465,10.0,2.0,1.4,41.0,3926.0,9.0,8.0,1.0,7.0,8.0,0.80,0.99,1.9,7.0
ladjs,superagent,33032.0,1325.0,1381844,1013.7,1.0,-1.0,4.0,2.3,13.0,6.0,3.8,8.0,87.0,0,13.0,102.0,2212.5,486,10.0,43.0,7.1,150.0,4736.9,86.0,8.0,6.0,15.0,17.0,0.84,0.99,1.9,8.0
tildeio,rsvp.js,7242.0,274.0,4895560,1013.7,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,37.0,0,18.0,116.0,2715.1,36976,66.0,-1.0,4.5,104.0,4184.24,-1.0,-1.0,-1.0,3.0,-1.0,0.94,0.98,1.9,8.0
normalize,mz,2772.0,56.0,5789444,1013.7,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,37.0,0,8.0,6.0,3598.7,114,0.0,-1.0,2.8,13.0,3615.7,-1.0,-1.0,-1.0,-1.0,-1.0,0.61,0.94,1.9,8.0
ljharb,js-traverse,60.0,5.0,0,1012.8,-1.0,-1.0,-1.0,-1.0,1.0,0.5,7.7,9.0,71.0,0,33.0,245.0,2033.9,58,0.0,155.0,2.0,29.0,538.61,-1.0,-1.0,3.0,3.0,9.0,0.67,0.75,1.9,9.0
pimterry,loglevel,5044.0,169.0,7720603,1011.7,8.0,-1.0,13.4,0.5,8.0,5.4,2.0,10.0,57.0,0,22.0,221.0,2726.4,130,0.0,36.0,2.4,80.0,4026.14,26.0,6.0,2.0,8.0,62.0,0.89,1.0,1.9,10.0
Urthen,case-sensitive-paths-webpack-plugin,856.0,45.0,10452180,1011.7,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,42.0,0,1.0,22.0,3275.0,19027,53.0,-1.0,2.3,22.0,2949.35,-1.0,1.0,-1.0,-1.0,-1.0,0.78,0.43,1.9,9.0
blakeembrey,pluralize,4180.0,186.0,3040651,1011.7,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,50.0,0,8.0,203.0,2985.3,1930,24.0,-1.0,5.2,7.0,4017.24,15.0,1.0,1.0,-1.0,1.0,0.67,0.8,1.9,8.0
dashed,shallowequal,342.0,16.0,2403412,1011.7,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,42.0,0,9.0,169.0,2528.7,24582,33.0,-1.0,2.0,15.0,3215.42,1.0,-1.0,-1.0,-1.0,-1.0,0.91,0.94,1.9,8.0
shelljs,shelljs,28190.0,723.0,2737107,1010.5,-2.0,-1.0,16.9,22.9,11.0,13.2,12.3,35.0,62.0,3,65.0,8.0,2940.9,308,0.0,68.0,2.6,192.0,4412.29,16.0,9.0,4.0,12.0,10.0,0.84,0.98,1.9,35.0
markedjs,marked,63074.0,3342.0,1157605,1010.2,3.0,0.0,6.5,0.2,213.0,1.8,0.0,41.0,100.0,0,10.0,14.0,1078.5,1938,1.0,1507.0,2.6,630.0,4634.45,127.0,75.0,25.0,214.0,240.0,0.99,1.0,1.9,41.0
http-party,node-portfinder,1740.0,102.0,9917779,1010.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,37.0,0,5.0,4.0,4511.4,57,1.0,1.0,4.8,17.0,4650.32,14.0,-1.0,-1.0,1.0,-1.0,0.95,0.95,1.9,8.0
PrismJS,prism,23816.0,1266.0,4,1009.4,0.0,0.0,17.5,20.1,1.0,66.6,0.0,24.0,75.0,0,5.0,4.0,2963.5,4679,32.0,83.0,2.1,1281.0,4282.18,41.0,46.0,-1.0,12.0,-1.0,0.80,0.97,1.9,24.0
chaijs,chai,16052.0,694.0,1855789,1004.2,2.0,-3.0,26.0,12.3,31.0,7.8,4.8,18.0,62.0,16,13.0,23.0,3831.9,4115,0.0,256.0,3.4,102.0,4498.66,48.0,21.0,6.0,32.0,29.0,0.91,0.99,1.9,18.0
domenic,opener,600.0,28.0,2535526,1004.2,0.0,-1.0,0.1,0.1,-1.0,-1.0,-1.0,6.0,42.0,0,3.0,217.0,2817.5,1105,9.0,-1.0,1.7,3.0,4255.56,12.0,1.0,-1.0,-1.0,-1.0,0.72,0.93,1.9,6.0
sindresorhus,get-port,1684.0,69.0,1562568,1004.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,85.0,0,8.0,1100.0,2969.7,22,0.0,20.0,4.2,9.0,3647.37,11.0,-1.0,-1.0,-1.0,-1.0,0.92,1.0,1.9,9.0
okonet,lint-staged,25384.0,406.0,1054920,999.3,-5.0,-1.0,5.3,3.7,32.0,4.8,0.1,19.0,37.0,0,45.0,153.0,2826.5,5099,0.0,515.0,2.4,142.0,2998.67,226.0,46.0,7.0,34.0,79.0,0.87,1.0,1.9,19.0
webpack-contrib,url-loader,2814.0,158.0,6524507,999.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,41.0,62.0,0,13.0,87.0,3137.7,27881,41.0,-1.0,2.2,48.0,4340.13,20.0,-1.0,-1.0,-1.0,-1.0,0.99,0.97,1.9,41.0
reactjs,react-lifecycles-compat,918.0,34.0,2346090,999.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,10.0,50.0,1,7.0,70.0,2026.6,11790,59.0,-1.0,2.1,32.0,2257.93,-1.0,-1.0,-1.0,-1.0,-1.0,0.82,0.59,1.9,10.0
luisrudge,postcss-flexbugs-fixes,1502.0,35.0,9467144,999.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,42.0,0,11.0,19.0,1527.7,1936,27.0,-1.0,2.8,18.0,3217.91,2.0,-1.0,-1.0,3.0,-1.0,0.89,0.93,1.9,9.0
jquery,jquery,117452.0,20574.0,7706109,995.0,14.0,4.0,9.9,4.4,68.0,12.1,8.0,47.0,100.0,16,15.0,57.0,3451.8,2486,10.0,1085.0,4.1,492.0,5476.36,9.0,28.0,5.0,71.0,37.0,0.97,1.0,1.9,47.0
cheeriojs,cheerio,55030.0,1609.0,1386846,992.0,37.0,3.0,37.1,16.2,349.0,3.6,24.9,15.0,75.0,3,13.0,3.0,3834.6,10601,1.0,5907.0,3.0,166.0,4557.82,57.0,18.0,6.0,351.0,332.0,0.97,0.99,1.8,15.0
mochajs,mocha,44768.0,2986.0,2371524,988.0,-6.0,-1.0,61.5,47.1,17.0,11.6,3.6,44.0,75.0,0,5.0,14.0,2701.8,11578,25.0,1007.0,3.4,646.0,4773.22,78.0,35.0,6.0,33.0,15.0,0.94,0.98,1.8,44.0
ljharb,json-stable-stringify,86.0,8.0,4495175,987.6,-1.0,-1.0,32.6,0.2,4.0,0.5,0.1,9.0,71.0,0,10.0,245.0,2033.9,58,0.0,104.0,2.1,17.0,523.66,-1.0,6.0,3.0,5.0,14.0,0.50,0.57,1.8,9.0
rbuckton,reflect-metadata,6190.0,180.0,3226685,987.3,-11.0,0.0,12.3,2.4,13.0,10.9,0.5,13.0,42.0,0,14.0,100.0,2134.9,326,0.0,40.0,1.1,6.0,3308.21,15.0,5.0,1.0,14.0,34.0,0.83,0.97,1.8,13.0
tomas,needle,3220.0,247.0,4009926,986.8,-1.0,-1.0,0.4,0.2,2.0,19.1,19.1,6.0,42.0,0,28.0,99.0,2839.6,246,4.0,11.0,3.0,45.0,4494.87,35.0,7.0,3.0,2.0,12.0,0.72,0.97,1.8,6.0
archiverjs,node-archiver,5408.0,231.0,600100,986.3,0.0,-1.0,44.0,50.8,42.0,44.3,4.2,27.0,50.0,1,4.0,7.0,3361.1,306,0.0,386.0,1.8,39.0,4191.79,72.0,15.0,4.0,42.0,53.0,0.75,0.95,1.8,27.0
webpack-contrib,copy-webpack-plugin,5640.0,299.0,4562192,986.6,5.0,-1.0,11.3,7.6,11.0,30.9,0.0,43.0,62.0,0,9.0,87.0,3137.7,14015,0.0,135.0,2.3,86.0,3078.92,72.0,6.0,4.0,11.0,11.0,0.98,1.0,1.8,43.0
reworkcss,css,3110.0,252.0,6425495,986.5,0.0,0.0,-1.0,8.3,2.0,0.0,0.0,6.0,37.0,0,13.0,30.0,3865.4,35,0.0,-1.0,1.2,40.0,4274.01,-1.0,2.0,-1.0,4.0,-1.0,0.44,0.68,1.8,6.0
js-cookie,js-cookie,42952.0,2077.0,735308,986.3,0.0,0.0,19.2,7.2,12.0,2.2,4.6,14.0,75.0,11,23.0,3.0,3163.7,362,0.0,213.0,2.3,37.0,3300.33,36.0,5.0,3.0,14.0,15.0,0.99,1.0,1.8,14.0
chrisdickinson,raf,1486.0,66.0,9203618,986.3,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,42.0,0,11.0,343.0,3597.3,14,0.0,-1.0,4.0,7.0,4111.8,-1.0,-1.0,-1.0,-1.0,-1.0,0.94,1.0,1.8,6.0
webpack,webpack-cli,5076.0,576.0,3194050,1005.2,22.0,0.0,49.4,7.4,186.0,7.2,0.1,51.0,87.0,1,11.0,49.0,3401.6,18300,1.0,3238.0,1.3,48.0,2663.04,66.0,9.0,5.0,188.0,139.0,0.99,1.0,1.8,51.0
dominictarr,JSONStream,3800.0,180.0,1711956,1005.2,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,42.0,0,13.0,893.0,3659.0,2,0.0,-1.0,2.3,16.0,4573.71,-1.0,-1.0,-1.0,-1.0,-1.0,0.57,0.91,1.8,-1.0
d3,d3-array,908.0,199.0,464178,1005.2,0.0,-1.0,-1.0,-1.0,1.0,0.2,-1.0,5.0,37.0,0,2.0,54.0,3094.9,953,2.0,19.0,1.6,89.0,3224.04,69.0,-1.0,1.0,3.0,1.0,0.91,0.98,1.8,5.0
highlightjs,highlight.js,45710.0,3490.0,2091967,992.6,4.0,-3.0,30.3,5.0,85.0,11.3,6.1,27.0,87.0,11,21.0,58.0,1378.1,1681,3.0,1317.0,1.5,240.0,4838.01,37.0,63.0,43.0,98.0,75.0,0.96,0.99,1.8,27.0
reduxjs,react-redux,46350.0,3351.0,3566015,989.2,-2.0,0.0,13.7,0.7,40.0,2.6,0.0,13.0,75.0,8,12.0,21.0,2282.9,22108,29.0,515.0,2.9,177.0,3186.27,130.0,24.0,12.0,41.0,139.0,0.98,1.0,1.8,13.0
facebook,fbjs,3894.0,310.0,2858792,989.0,0.0,-1.0,-1.0,130.9,-1.0,-1.0,0.0,15.0,75.0,7,3.0,135.0,2276.2,23949,32.0,21.0,2.2,357.0,3230.07,-1.0,4.0,-1.0,9.0,-1.0,0.68,0.91,1.8,15.0
yeoman,update-notifier,3488.0,149.0,4512934,989.0,0.0,-1.0,74.9,74.9,-1.0,-1.0,-1.0,10.0,62.0,0,15.0,30.0,3931.6,19,0.0,4.0,4.5,15.0,4131.32,22.0,2.0,1.0,-1.0,4.0,0.81,0.99,1.8,10.0
postcss,postcss-nested,2252.0,66.0,8321069,989.0,0.0,-1.0,0.0,0.0,2.0,0.1,0.0,8.0,37.0,0,7.0,55.0,3000.8,909,0.0,12.0,3.5,9.0,3432.03,-1.0,2.0,2.0,2.0,2.0,0.97,1.0,1.8,8.0
csstools,postcss-plugins,1610.0,65.0,9668122,986.8,-7.0,1.0,16.9,0.2,197.0,1.6,11.4,104.0,62.0,22,8.0,119.0,2505.4,7747,0.0,4717.0,1.0,67.0,1611.25,-1.0,29.0,4.0,200.0,434.0,0.99,1.0,1.7,104.0
angular,angular-cli,53136.0,11994.0,40025,966.8,-5.0,1.0,6.7,4.5,938.0,2.7,28.8,103.0,87.0,28,17.0,205.0,2967.1,16751,4.0,26288.0,1.3,130.0,3223.17,686.0,425.0,21.0,943.0,453.0,0.98,1.0,1.6,103.0
reduxjs,reselect,37976.0,671.0,2384216,961.5,-1.0,-1.0,4.5,1.3,44.0,9.7,0.1,18.0,37.0,0,12.0,21.0,2282.9,10852,3.0,422.0,2.0,162.0,3196.54,46.0,17.0,8.0,52.0,420.0,0.94,0.95,1.6,18.0
fshost,node-dir,438.0,43.0,1258946,961.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,42.0,0,6.0,43.0,4191.4,86,0.0,-1.0,1.9,11.0,4205.66,-1.0,-1.0,-1.0,-1.0,-1.0,0.58,0.74,1.6,6.0
bruce,node-temp,888.0,62.0,0,961.5,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,5.0,42.0,0,6.0,118.0,3553.8,343,9.0,-1.0,5.9,8.0,5052.84,3.0,1.0,-1.0,-1.0,-1.0,0.95,0.93,1.6,5.0
Stuk,jszip,18752.0,1290.0,1675806,961.5,-1.0,-1.0,14.6,21.5,-1.0,-1.0,-1.0,5.0,42.0,0,0.0,120.0,3495.9,1275,46.0,-1.0,2.5,164.0,5327.29,-1.0,13.0,-1.0,2.0,-1.0,0.45,0.85,1.6,5.0
sinonjs,sinon,19046.0,763.0,609974,963.2,5.0,-1.0,4.4,20.6,36.0,11.6,3.6,42.0,75.0,24,8.0,17.0,2930.9,4112,11.0,336.0,1.5,590.0,5024.11,22.0,15.0,11.0,37.0,61.0,0.97,1.0,1.6,42.0
webpack-contrib,source-map-loader,710.0,85.0,7830777,963.4,-1.0,-1.0,30.2,5.8,11.0,9.4,0.0,40.0,62.0,0,8.0,87.0,3137.7,14990,0.0,90.0,2.1,55.0,3604.77,22.0,1.0,4.0,11.0,11.0,0.94,0.99,1.6,40.0
arcanis,pnp-webpack-plugin,522.0,20.0,4563764,963.4,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,9.0,28.0,0,4.0,305.0,1928.4,10495,56.0,-1.0,1.4,2.0,2015.37,-1.0,-1.0,-1.0,-1.0,-1.0,0.53,0.45,1.6,9.0
pngjs,pngjs,1310.0,97.0,1105342,963.0,0.0,-1.0,-1.0,-1.0,12.0,9.0,5.5,10.0,37.0,0,27.0,1.0,3167.4,3013,56.0,102.0,1.5,43.0,3167.36,-1.0,3.0,-1.0,17.0,-1.0,0.71,0.97,1.6,10.0
jshttp,basic-auth,1400.0,85.0,2798620,963.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,22.0,37.0,0,8.0,29.0,3640.4,281,0.0,-1.0,2.2,9.0,3775.16,9.0,-1.0,-1.0,-1.0,-1.0,0.93,0.96,1.6,22.0
Raynos,global,500.0,26.0,1633381,963.0,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,6.0,42.0,0,5.0,647.0,3607.6,3,0.0,-1.0,1.4,4.0,3658.75,-1.0,-1.0,-1.0,-1.0,-1.0,0.40,1.0,1.6,6.0
JedWatson,react-select,54200.0,4079.0,455448,960.2,0.0,0.0,22.6,22.7,12.0,8.2,0.0,16.0,71.0,1,10.0,100.0,3057.8,43934,0.0,18.0,2.5,414.0,3505.81,54.0,72.0,8.0,27.0,12.0,0.91,0.95,1.6,16.0
FezVrasta,popper.js,56166.0,1523.0,2688575,951.2,27.0,0.0,14.4,2.0,144.0,2.7,0.0,28.0,75.0,0,13.0,275.0,2293.1,29390,2.0,1374.0,1.2,227.0,2924.29,401.0,105.0,18.0,145.0,232.0,0.99,1.0,1.6,28.0
styled-components,polished,15130.0,213.0,350026,951.1,0.0,-1.0,60.4,6.2,4.0,203.4,68.3,13.0,87.0,16,16.0,35.0,2352.4,17312,15.0,184.0,1.7,263.0,2705.39,87.0,1.0,1.0,4.0,1.0,0.93,0.99,1.6,13.0
pvorb,node-md5,1778.0,188.0,4,951.1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,42.0,0,9.0,109.0,3867.0,1612,18.0,-1.0,1.9,11.0,4510.88,1.0,-1.0,-1.0,-1.0,-1.0,0.91,0.82,1.6,1.0
senchalabs,connect,19510.0,1094.0,5398895,951.1,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,16.0,50.0,0,17.0,22.0,4507.6,115,0.0,-1.0,1.3,8.0,5058.21,-1.0,1.0,-1.0,-1.0,-1.0,1.00,0.99,1.6,16.0
styled-components,styled-components,79894.0,2464.0,2221207,948.1,-9.0,-3.0,27.7,17.0,41.0,7.2,9.7,9.0,62.0,20,11.0,35.0,2352.4,16712,9.0,749.0,1.5,152.0,2784.72,165.0,99.0,21.0,50.0,78.0,0.92,0.98,1.6,9.0
jfromaniello,url-join,690.0,42.0,1284368,948.0,0.0,-1.0,2.8,-1.0,12.0,1.6,1.1,7.0,42.0,0,8.0,273.0,3120.9,260,0.0,32.0,2.5,10.0,4079.35,1.0,1.0,3.0,12.0,13.0,0.90,1.0,1.6,7.0
apollographql,graphql-tag,4622.0,181.0,944136,947.7,1.0,-1.0,-1.0,0.9,5.0,11.0,9.3,19.0,75.0,9,7.0,175.0,1249.2,2060,7.0,92.0,1.9,30.0,2837.14,5.0,3.0,4.0,10.0,7.0,0.69,0.96,1.6,19.0
brix,crypto-js,30444.0,2348.0,683205,947.6,0.0,-1.0,4.2,14.2,-1.0,-1.0,139.8,6.0,50.0,4,19.0,11.0,3408.5,31,0.0,-1.0,2.4,21.0,4010.16,-1.0,19.0,1.0,1.0,6.0,0.38,0.81,1.6,6.0
arcanis,ts-pnp,132.0,9.0,4373465,947.6,0.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,8.0,28.0,0,4.0,305.0,1928.4,71,0.0,-1.0,1.1,1.0,1983.06,-1.0,-1.0,-1.0,-1.0,-1.0,0.00,0.5,1.6,8.0
